PROBLEM_ID,TITLE_NM,TAGS_NM,SOLVED_USR,HASH_ID
,N-퍼즐,impl,,3041000
,트리플렛,bruteforce geom,,3042000
,장난감 탱크,greedy sorting,,3043000
,자전거 경주 준비하기,dfs dp graph traversal topological sorting,,3044000
,이중 연결 리스트,ds greedy ll lis in o(n log n),,3045000
,R2,impl arithmetic math,,3046000
,ABC,impl,,3047000
,개미,impl simulation string,,3048000
,다각형의 대각선,combinatorics math,,3049000
,집들이,prefix sum,,3050000
,군사 기지,bruteforce geom line segment intersection check,,3051000
,나머지,arithmetic math,,3052000
,택시 기하학,geom math,,3053000
,피터팬 프레임,impl,,3054000
,탈출,bfs graph traversal,,3055000
,007,bitmask dp bitfield dp,,3056000
,디버그,bit set dp hash prefix sum,,3057000
,짝수를 찾아라,arithmetic impl math,,3058000
,등장하지 않는 문자의 합,impl string,,3059000
,욕심쟁이 돼지,impl math simulation,,3060000
,사다리,greedy,,3061000
,수 뒤집기,arithmetic impl math string,,3062000
,게시판,geom math,,3063000
,Minesweeper,greedy impl,,3064000
,Tournament,,,3065000
,브리징 시그널,binary search lis in o(n log n),,3066000
,Coins,dp knapsack,,3067000
,The ♡ System,impl math,,3071000
,집으로 가는 길,,,3073000
,Astromeeting,dijkstra's floyd–warshall graph traversal,,3075000
,상근이의 체스판,impl string,,3076000
,임진왜란,bruteforce ds hashset,,3077000
,좋은 친구,ds queue sliding window,,3078000
,입국심사,binary search parametric search,,3079000
,아름다운 이름,ds recursion tree trie,,3080000
,프로세서 디자인,,,3081000
,아름다운 제도,,,3082000
,고속도로 구매,,,3083000
,FPS,,,3084000
,사탕 게임,bruteforce impl,,3085000
,초콜릿 자르기,dp,,3086000
,상근일,,,3087000
,화분 부수기,greedy,,3088000
,네잎 클로버를 찾아서,binary search ds impl simulation sorting,,3089000
,차이를 최소로,binary search greedy parametric search,,3090000
,PEKAR,,,3091000
,TRAVA,,,3092000
,새 게임,,,3093000
,강아지 기다리기,,,3094000
,플러스의 개수,impl,,3095000
,영화제,bitmask bruteforce combinatorics math,,3096000
,산책 경로,bruteforce geom impl,,3097000
,소셜네트워크,graph impl,,3098000
,도트 매트릭스 프린터,dp,,3099000
,국기 인식,bruteforce impl string,,3100000
,토끼의 이동,impl math,,3101000
,겹치지 않는 원,dp,,3102000
,순열의 순서,ds offline query pst segtree,,3103000
,쿠키,dp string,,3104000
,벽 쌓기,,,3105000
,월급 인상,ds ett lca segtree tree,,3106000
,IPv6,impl string,,3107000
,로고,ds dsu geom,,3108000
,빵집,dfs graph traversal greedy,,3109000
,부등식,math,,3110000
,검열,ds deque impl stack string,,3111000
,쥐덫,,,3112000
,양,greedy math number theory primality test eratosthenes,,3113000
,사과와 바나나,dp prefix sum,,3114000
,꽃,ds segtree sorting,,3115000
,생물학자,bruteforce math,,3116000
,YouTube,ds sparse table,,3117000
,과학자,,,3118000
,울타리,ds greedy segtree sorting,,3119000
,PODJELA,,,3120000
,"빨간점, 파란점",ds geom segtree sweeping,,3121000
,IGRACI,ds segtree,,3122000
,배추,,,3123000
,공원 산책,combinatorics math,,3124000
,GONDOR,ds geom graph impl priority queue pythagoras thm simulation,,3125000
,반역의 원철이,bruteforce impl,,3126000
,JEZERO,,,3127000
,Hangman Game,dp,,3128000
,상범이의 은밀한 메세지,string,,3129000
,붙인드롬,bruteforce knapsack math number theory,,3130000
,크리스마스 선물,bruteforce prefix sum,,3131000
,구조조정,graph sorting,,3132000
,코끼리,binary search ds dp lis in o(n log n) segtree,,3133000
,A Standard Problem,,,3134000
,라디오,greedy math,,3135000
,평면도,ds euler characteristic geom hashset,,3136000
,DORUCAK,,,3137000
,STUPOVI,,,3138000
,VANDAL,case work math,,3139000
,GULIVER,0-1 bfs dijkstra's graph,,3140000
,폭발하는 공,,,3141000
,즐거운 삶을 위한 노력,math number theory primality test eratosthenes,,3142000
,울타리를 치자!,,,3143000
,자석,,,3144000
,지리지도,,,3145000
,SLIKA,,,3146000
,LIJEN,,,3147000
,빙고,meet in the middle,,3148000
,MRAVOGRAD,,,3149000
,NOGA,,,3150000
,합이 0,binary search bruteforce sorting two-pointer,,3151000
,예쁜 숫자,impl math,,3152000
,타워 디펜스,2-sat graph scc,,3153000
,알람시계,bruteforce impl,,3154000
,터널,,,3155000
,노래,ds hashset sorting,,3156000
,osmo,,,3157000
,Sierpinski 삼각형,ad-hoc impl,,3158000
,전구,ad-hoc dp,,3159000
,24 성냥개비 퍼즐,case work,,3160000
,izbori,impl,,3161000
,turbo,impl simulation,,3162000
,떨어지는 개미,ad-hoc sorting,,3163000
,패턴,bruteforce math,,3164000
,5,backtrack greedy math,,3165000
,maraton,graph traversal,,3166000
,기차표 검사,greedy,,3167000
,stolni,constructive impl simulation,,3168000
,테트리스 같은 게임,dp,,3169000
,grad,,,3170000
,크레인,,,3171000
,현주와 윤주의 재미있는 단어 게임,ds segtree sorting string,,3172000
,karla,,,3173000
,나누기,,,3174000
,formule,,,3175000
,도로 네트워크,ds lca sparse table tree,,3176000
,크로아티아 수 읽기,impl math,,3177000
,코코스,ds impl sorting string tree trie,,3178000
,삼각형,,,3179000
,banana,,,3180000
,줄임말 만들기,impl string,,3181000
,한동이는 공부가 하기 싫어!,bruteforce graph traversal,,3182000
,Dates,impl,,3183000
,양,bfs dfs graph traversal,,3184000
,kviz,case work impl string,,3185000
,소변기,impl,,3186000
,양치기 꿍,bfs dfs graph traversal,,3187000
,nule,dp math,,3188000
,tomo,impl math number theory pigeonhole simulation,,3189000
,뱀,ds deque impl queue simulation,,3190000
,autoput,,,3191000
,매직 스퀘어,impl,,3192000
,공,dp impl simulation,,3193000
,nogomet,impl sorting,,3194000
,ribari,binary search prefix sum,,3195000
,utrka,,,3196000
,백조의 호수,bfs ds dsu graph traversal,,3197000
,nagibni,,,3198000
,ABCD,geom math,,3199000
,xl,,,3200000
,vid,,,3201000
,papir,,,3202000
,프로그래밍 언어 Z,exponentiation by squaring impl math parsing simulation string,,3203000
,커플 깨기,eulerian path graph,,3204000
,fusnote,,,3205000
,haker,,,3206000
,hugo,,,3207000
,gus,impl math simulation,,3208000
,gumbi,,,3209000
,piloti,,,3210000
,kino,sorting,,3211000
,otmica,,,3212000
,피자,greedy math,,3213000
,zagrade,,,3214000
,reklame,,,3215000
,다운로드,greedy,,3216000
,malloc,ds impl ll,,3217000
,spam,bruteforce case work parsing string,,3218000
,novci,,,3219000
,mars,,,3220000
,개미의 이동,ad-hoc sorting,,3221000
,chip,,,3223000
,grupe,ds greedy stack,,3224000
,mapa,,,3225000
,전화 요금,arithmetic impl math,,3226000
,MO,impl simulation,,3227000
,극한 피자 배달,,,3228000
,LIFTOVI,dijkstra's graph,,3229000
,"금메달, 은메달, 동메달은 누가?",impl,,3230000
,카드놀이,greedy impl sorting,,3231000
,Multiply,math,,3232000
,BRODOVI,sweeping,,3233000
,LUKA,impl simulation string,,3234000
,TRAJEKT,greedy sorting,,3235000
,TELEPORT,bruteforce floyd–warshall graph,,3236000
,UHODE,ds hashset impl simulation treeset,,3237000
,LINIJE,,,3238000
,SUMA,geom math two-pointer,,3239000
,JOKER,greedy impl simulation,,3240000
,JEZIK,,,3242000
,MRAVI,,,3243000
,두 부분 문자열 2,binary search dp,,3244000
,거리,,,3245000
,SLALOM,,,3246000
,A1,,,3247000
,JOZO,,,3248000
,VOKITOKI,,,3250000
,SONG,string,,3251000
,JANICA,arithmetic impl math sorting,,3252000
,TRAM,0-1 bfs dijkstra's graph,,3253000
,김밥 21개,impl simulation,,3254000
,WINDOWS,,,3255000
,비행기,impl,,3256000
,발코딩,dp,,3257000
,컴포트,bruteforce impl simulation,,3258000
,PEOPLE,bitmask bruteforce,,3259000
,TEAMS,dp graph traversal,,3260000
,TOWER,,,3261000
,BUHA,impl,,3262000
,LIGNJA,,,3263000
,ONE,dfs graph traversal greedy,,3264000
,수열로 수열 구하기,constructive greedy,,3265000
,문자열의 확장과 거리,,,3266000
,TWO,bfs dfs dp tree dp graph traversal tree,,3267000
,COLA,impl simulation,,3268000
,PARKING,,,3269000
,CATTLE,dp impl,,3270000
,MEADOW,,,3271000
,SAFE,,,3272000
,두 수의 합,sorting two-pointer,,3273000
,ICONS,arithmetic bruteforce impl math,,3276000
,DOMAINS,ds string treeset,,3277000
,EXCHANGE,,,3278000
,DOLLARS,greedy,,3279000
,CARDS,impl simulation,,3280000
,T9,impl string,,3281000
,ROOMS,impl simulation,,3282000
,BARCODE,ad-hoc dp impl string,,3283000
,MASS,ds stack,,3284000
,DECODE,impl string,,3285000
,SHELVES,dp,,3286000
,CALC,,,3287000
,BEER,ad-hoc,,3288000
,FRIENDS,bitmask dp bitfield dp,,3289000
,GAME,game theory,,3290000
,LIST,greedy,,3291000
,CARDS,,,3292000
,MONKEY,,,3293000
,PASTE,,,3294000
,단방향 링크 네트워크,bipartite matching,,3295000
,SEARCH,bfs graph traversal,,3296000
,POLYGON,convex hull dp geom,,3297000
,WEDDING,,,3298000
,POWER,dp,,3299000
,무어 기계,dp parsing regex string,,3300000
,FATBOY,dp,,3301000
,Job Scheduling,,,3302000
,Printed Circuit Board,ds geom stack,,3303000
,Sailing Race,,,3304000
,대회가 끝나고 난 뒤 빰빠빰,ds math stack,,3307000
,Matching,ds kmp segtree string,,3308000
,Hotel,ds greedy priority queue sorting treeset,,3309000
,Teams,,,3310000
,Traffic,bfs dfs graph traversal planar graph scc topological sorting,,3311000
,Similarity,,,3312000
,The Alliances,bipartite matching impl,,3313000
,An Arithmetic Rectangle,case work impl math,,3314000
,Bodyguards,ds greedy math treeset,,3315000
,The MP3 Player,ds segtree,,3316000
,PIN,backtrack string,,3317000
,A Huge Tower,binary search math sorting,,3318000
,전령들,cht ds dp tree,,3319000
,사진,,,3320000
,가장 큰 직사각형,dp greedy sorting sweeping,,3321000
,정렬의 시간복잡도,,,3322000
,삼각형,convex hull ds geom segtree,,3323000
,Dominance,binary search geom math sorting,,3324000
,Information,,,3325000
,Knights,dp game theory,,3326000
,Fence,cht convex hull dp geom,,3327000
,Choosing Orders and Renting Machines,,,3328000
,Ministry,hash parsing string tree tree isomorphism,,3329000
,Nasty Calculations,,,3330000
,Airport Show,,,3331000
,Royal treasury,dp tree dp tree,,3332000
,Antenna,binary search geom parametric search,,3333000
,Queue,,,3334000
,Walk,,,3335000
,Connect,ad-hoc bitmask case work dp bitfield dp impl,,3336000
,Link,,,3337000
,Depot Rearrangement,eulerian path graph traversal,,3338000
,Mobile Service,,,3339000
,Multi-key Sorting,ds hashset sorting,,3340000
,Lanterns,,,3342000
,장미,bruteforce math number theory,,3343000
,N-Queen,case work constructive,,3344000
,괄호,dp,,3345000
,꿍 기지국,binary search ds geom stack,,3346000
,Peaks,ds dfs dsu graph traversal,,3347000
,Fireworks in RightAngleles,math sorting sweeping,,3348000
,Melody,,,3349000
,Candy Machine,binary search ds greedy lis in o(n log n),,3350000
,삼각 분할,smaller to larger tree,,3351000
,BEARs,,,3352000
,Printed Circuit Board,dp greedy lis in o(n log n),,3353000
,Matching Bins,,,3354000
,Candies,bitmask dp,,3355000
,라디오 전송,kmp string,,3356000
,Monument,binary search ds d&c prefix sum stack,,3357000
,Towers of coins,dp game theory,,3358000
,사각 사각,dp,,3359000
,깡총깡총,math,,3360000
,Handshakes,,,3361000
,수수께끼,binary search ds greedy parametric search priority queue,,3362000
,동전,bruteforce,,3363000
,Escape,dual graph flow graph mfmc planar graph,,3364000
,Building a Fence,dijkstra's graph planar graph,,3365000
,수열 줄이기,ds greedy,,3366000
,Bitwise Expressions,ds greedy priority queue,,3367000
,Coin Collector,greedy,,3368000
,Countries,graph impl,,3369000
,City Planning,binary search math,,3370000
,RLE Compression,,,3371000
,보드 점프,arbitrary precision / big integers dp,,3372000
,Cards,greedy sorting,,3373000
,Camouflaged camp,,,3374000
,Magic Parenthesis,,,3375000
,Maze,,,3376000
,Ancient Manuscript,,,3377000
,Bus Trip,,,3378000
,Polygon,,,3379000
,Linker,,,3380000
,Barrel,,,3381000
,Gems,dp tree dp tree,,3382000
,Submarines,splay tree tree,,3383000
,Speed Limits,,,3385000
,테니스 클럽,,,3386000
,Calculator Game,bruteforce case work math number theory,,3387000
,L Game,,,3388000
,Moving Robots,,,3389000
,나이트,bipartite matching,,3391000
,화성 지도,ds segtree sweeping,,3392000
,Honeycomb Problem,,,3394000
,Time Zones,,,3395000
,Electronical Plate,,,3396000
,Division Expression,euclidean algorithm math number theory,,3397000
,Stickers,,,3398000
,Mutexes,backtrack,,3399000
,Expressions,dp,,3400000
,파산하는 왕국,bitmask dp bitfield dp graph,,3405000
,Who wants to live forever?,math string,,3406000
,맹세,bruteforce dp graph traversal string,,3407000
,Non-boring sequences,ds d&c,,3408000
,문자 방정식,dp tree dp parsing string tree,,3409000
,Farm and factory,,,3410000
,Jewel heist,ds pst segtree sweeping,,3411000
,Darts,geom impl pythagoras thm,,3412000
,The Dragon and the knights,geom,,3413000
,Conservation,bfs graph traversal topological sorting,,3414000
,Graphic Madness,,,3415000
,Boring Card Game,,,3416000
,Vigenère Cipher Encryption,impl string,,3417000
,Unique Encryption Keys,,,3418000
,Racing Car Trail,bipartite matching dfs graph traversal,,3419000
,Stack Machine Programmer,,,3420000
,이상한 규정,impl splay tree tree,,3421000
,Vigenère Cipher Analysis,,,3422000
,The Grille,impl,,3423000
,Unchanged Picture,geom,,3424000
,고스택,ds impl stack,,3425000
,Ardenia,,,3426000
,Beasts,,,3427000
,Casting Spells,manacher's string,,3428000
,방어선,binary search ds dp segtree,,3429000
,용이 산다,ds greedy priority queue,,3430000
,Fields and Farmers,case work,,3431000
,Game,bruteforce impl,,3432000
,Hanging Hats,,,3433000
,Insults,ds stack string,,3434000
,Justice for All,combinatorics constructive math,,3435000
,Strange Billboard,,,3436000
,Phone Cell,geom parametric search,,3437000
,Hexagonal Parcels,,,3438000
,Key Task,,,3439000
,Gates of Logic,graph traversal impl topological sorting,,3440000
,Weird Numbers,,,3441000
,직각 다각형,geom,,3442000
,Reaux! Sham! Beaux!,ds hashset impl string,,3443000
,Robotic Sort,splay tree tree,,3444000
,Tough Water Level,,,3445000
,Ants,,,3446000
,버그왕,parsing regex string,,3447000
,문자 인식,impl string,,3448000
,해밍 거리,string,,3449000
,Desperate Electrician,,,3450000
,Easy Task,impl,,3451000
,Bundling,,,3452000
,Shortcut,,,3453000
,Dice Contest,,,3454000
,November Rain,,,3455000
,축구공,ad-hoc euler characteristic geom math,,3456000
,Which is Next,,,3457000
,Hang or not to hang,,,3458000
,Minimizing Maximizer,ds dp lazyprop segtree,,3459000
,이진수,impl math,,3460000
,Alice and Bob,dual graph graph planar graph,,3461000
,이진 스털링 수,combinatorics math,,3462000
,Calendar of Maya,,,3463000
,Decoding Morse sequences,ds dp tree trie,,3464000
,Choir,,,3466000
,Gates,binary search constructive,,3467000
,Horizontally Visible Segments,,,3468000
,Simple Arithmetics,,,3469000
,The Bulk,,,3470000
,Complete the sequence!,,,3471000
,Direct Visibility,,,3472000
,Complicated Expressions,case work ds parsing stack string,,3473000
,교수가 된 현우,math number theory,,3474000
,The Game of Master-Mind,,,3475000
,Hotline,impl parsing string,,3476000
,I-Keyboard,,,3477000
,Run Away,,,3478000
,Equipment Box,geom math,,3479000
,Secret Code,,,3480000
,The Proper Key,,,3481000
,Labyrinth,dfs graph traversal tree,,3482000
,Piggy-Bank,dp knapsack,,3483000
,Lifting the Stone,,,3484000
,Play on Words,,,3485000
,Adding Reversed Numbers,arithmetic impl math,,3486000
,Copying Books,binary search greedy,,3487000
,Substitution Cipher,,,3488000
,Commedia dell' arte,,,3489000
,Calculating Expressions on Turing Machine,,,3490000
,Skyscraper Floors,bfs dfs extended euclidean algorithm graph traversal math number theory,,3491000
,Glass Beads,string suffix array and lcp array,,3492000
,Hares and Foxes,,,3493000
,Invitation Cards,,,3494000
,아스키 도형,geom impl,,3495000
,Binary Encoding,impl,,3496000
,Caption,,,3497000
,사전의 크기,,,3498000
,미토콘드리아 이브,ds graph traversal hashset impl tree,,3499000
,Flights,,,3500000
,최대공약수 맞추기 게임,greedy math,,3501000
,Huzita Axiom 6,,,3502000
,Interactive Permutation Guessing,randomization,,3503000
,Journey,,,3504000
,Kingdom Roadmap,,,3505000
,Lanes,,,3506000
,Automated Telephone Exchange,bruteforce math,,3507000
,Black Square,case work,,3508000
,Cube Coloring,,,3509000
,Dice,math probability sorting,,3510000
,Electrification,,,3511000
,Flat,arithmetic impl math string,,3512000
,Galaxy Interconnection,dfs graph traversal,,3513000
,High security,,,3514000
,Immediate Delivery,bitmask ds dijkstra's graph priority queue topological sorting,,3515000
,John’s Inversions,ds segtree sorting,,3516000
,Kids Like Cakes,,,3517000
,공백왕 빈-칸,impl parsing string,,3518000
,계산왕 연산군,,,3519000
,Cactus Revolution,cactus dfs graph traversal greedy,,3520000
,Dome of Circus,,,3521000
,Evacuation Plan,dp sorting,,3522000
,Factorial Simplification,math,,3523000
,Hands of Poker,impl,,3525000
,이상적인 경로,bfs graph traversal greedy,,3526000
,Jungle Outpost,binary search geom hpi parametric search,,3527000
,K-Graph Oddity,dfs graph traversal greedy,,3528000
,Alien Communication Masterclass,ad-hoc constructive math number theory,,3529000
,Bug2,,,3530000
,Commuting Functions,math,,3531000
,Defense of a Kingdom,sorting,,3532000
,Explicit Formula,impl math,,3533000
,Frames,bruteforce geom,,3534000
,Gadgets Factory,,,3535000
,Horrible Truth,,,3536000
,Ideal Contest,,,3537000
,Journey,,,3538000
,Kitchen Robot,,,3539000
,Asteroids,,,3540000
,상근타워,binary search math,,3541000
,Database,ds string treeset,,3542000
,Exclusive Access 2,,,3543000
,Funny Language,ds greedy priority queue string,,3544000
,Garbling Game,arbitrary precision / big integers ds sparse table,,3545000
,Headshot,math,,3546000
,Inspection,flow mcmf,,3547000
,Java Certification,dp knapsack,,3548000
,K-equivalence,,,3549000
,Auxiliary Question of the Universe,constructive impl string,,3550000
,Bureaucracy,graph impl topological sorting,,3551000
,Circles on a Screen,geom math prefix sum,,3552000
,Dragon’s Question,ad-hoc math,,3553000
,Enigmatic Device,impl,,3554000
,Four Points,case work geom,,3555000
,Grand Theft Auto Wheel,,,3556000
,Homo or Hetero?,ds hashset treeset,,3557000
,Image Recognition,,,3558000
,Jealous Numbers,inclusion and exclusion math number theory,,3559000
,Kripke Model,,,3560000
,Aerodynamics,,,3561000
,Clock,,,3562000
,Finding Liars,,,3563000
,Exclusive Access,,,3564000
,피보나치 진법,dp math,,3565000
,대형 스크린,arithmetic impl math,,3566000
,Hell on the Markets,,,3567000
,iSharp,parsing string,,3568000
,Javanese Cryptoanalysis,,,3569000
,KINA Is Not Abbreviation,,,3570000
,Access Control Lists,,,3571000
,Billboard,,,3572000
,Class,,,3573000
,Deposits,,,3574000
,Enchanted Mirror,,,3575000
,Fenwick Tree,,,3576000
,Ground Works,,,3577000
,Holes,greedy impl string,,3578000
,Important Wires,,,3579000
,Just Too Lucky,,,3580000
,Key to Success,,,3581000
,Ants,convex hull d&c geom,,3582000
,Building for UN,,,3583000
,가장 가까운 공통 조상,dfs graph traversal lca tree,,3584000
,Diver,,,3585000
,방정식,case work ds impl math parsing stack string,,3586000
,Fund Management,,,3587000
,Water Main Break,impl,,3588000
,Christmas Gifts,bfs graph traversal impl,,3589000
,i18n,case work impl parsing string,,3590000
,Japanese Writing,,,3591000
,Kingdom Partitioning,,,3592000
,DFA,,,3593000
,A+B,arbitrary precision / big integers math number theory string,,3594000
,맥주 냉장고,bruteforce math,,3595000
,크로스와 크로스,game theory sprague–grundy thm,,3596000
,Domestic Networks,,,3597000
,엘리베이터,dijkstra's graph,,3598000
,Formula,,,3599000
,Given a string. . .,,,3600000
,History of Football,,,3601000
,iChess,bruteforce math,,3602000
,Journey with Pigs,,,3603000
,K’ak’-u-pakal and Mayan Script,,,3604000
,Billing Tables,,,3605000
,Cellular Automaton,exponentiation by squaring linear algebra math,,3606000
,Driving Directions,,,3607000
,Exchange,,,3608000
,Fool’s Game,,,3609000
,Graveyard,math,,3610000
,팀의 난이도,binary search flow mfmc parametric search,,3611000
,Interconnect,,,3612000
,Java vs C++,case work impl parsing string,,3613000
,정사각형,euclidean algorithm math number theory,,3614000
,Alphabet,,,3615000
,Bridges,dp tree dp tree,,3616000
,Confectionery,,,3617000
,Deciphering,,,3618000
,Equation,,,3619000
,Feng Shui,,,3620000
,족보,greedy math tree,,3621000
,어떤 호박의 할로윈 여행,case work geom math,,3622000
,상범이의 액자,,,3623000
,Japanese Puzzle,,,3624000
,Kennings,,,3625000
,Guards,bruteforce impl math,,3626000
,Hardwood Cutting,,,3627000
,Knockdown,,,3628000
,Astronomy,math,,3629000
,Bee Garden,,,3630000
,Cutting a Block,,,3631000
,Drying,binary search parametric search,,3632000
,Expectation,linearity of expectation math probability stats,,3633000
,Flip and Turn,ad-hoc impl,,3634000
,Godfather,dp tree dp tree,,3635000
,Horn Clauses,greedy,,3636000
,Inner Vertices,compression ds segtree,,3637000
,Jenny's First Exams,,,3638000
,K Best,binary search,,3639000
,제독,flow mcmf,,3640000
,호프집 선택,combinatorics impl math,,3641000
,자전거,,,3642000
,디지털 시계,bitmask bruteforce,,3643000
,그래프 매칭,arbitrary precision / big integers dp,,3644000
,토너먼트 조작,,,3645000
,경비원,,,3646000
,흥미로운 집합,,,3647000
,아이돌,2-sat graph scc,,3648000
,로봇 프로젝트,binary search sorting two-pointer,,3649000
,암호 해독,ds hashset,,3650000
,이항계수,binary search combinatorics math,,3651000
,새트리,math recursion,,3652000
,영화 수집,ds segtree,,3653000
,L퍼즐,2-sat graph scc,,3654000
,먼저 가세요,greedy sorting string,,3655000
,수영장 만들기,flow mfmc,,3656000
,총격전,constructive floyd–warshall graph,,3657000
,Tichu,backtrack impl recursion,,3658000
,RFID 추적,geom,,3659000
,열차 지연,,,3660000
,생일 선물,greedy sorting,,3661000
,보석 분배,ds dp greedy priority queue sorting,,3662000
,고득점,greedy,,3663000
,언덕,,,3664000
,최종 순위,graph topological sorting,,3665000
,리스크,binary search flow parametric search,,3666000
,Selling Land,ds stack,,3667000
,Stock Prices,,,3668000
,Telephone Network,,,3669000
,Wormly,,,3670000
,산업 스파이의 편지,bruteforce combinatorics math number theory primality test eratosthenes,,3671000
,Common Subexpression Elimination,,,3672000
,나눌 수 있는 부분 수열,math prefix sum,,3673000
,Fractal,,,3674000
,Mountain Road,,,3675000
,Moving to Nuremberg,dp tree dp tree,,3676000
,Room Assignments,graph,,3677000
,카탄의 개척자,impl simulation,,3678000
,단순 다각형,convex hull geom sorting,,3679000
,Wormholes,,,3680000
,모빌,ad-hoc math parsing string,,3681000
,동치 증명,graph scc,,3682000
,고양이와 개,bipartite matching,,3683000
,어려운 문제,bruteforce,,3684000
,김강山,dp slope trick,,3685000
,Sculpture,,,3686000
,성냥개비,dp greedy,,3687000
,래프팅 디자인,,,3688000
,셔플,,,3689000
,Videopoker,,,3690000
,컴퓨터 조립,binary search ds hashset,,3691000
,펭귄들의 행진,flow,,3692000
,컨테이너,bruteforce,,3693000
,Youth Hostel Dorm,,,3694000
,Escape from Enemy Territory,bfs graph traversal parametric search,,3695000
,Flight Safety,d&c geom voronoi diagram,,3696000
,정상,bfs graph traversal,,3697000
,애매함,,,3698000
,주차 빌딩,impl math,,3699000
,걷기,geom point in non-convex polygon check sorting,,3700000
,스도쿠 변형,backtrack bruteforce impl,,3701000
,The SetStack Computer,bit set ds impl stack,,3702000
,Pie,binary search parametric search,,3703000
,Ticket to Ride,,,3704000
,Lineland’s Airport,,,3705000
,Leonardo’s Notebook,permutation cycle decomposition string,,3706000
,Unequalled Consumption,,,3707000
,Declaration of Content,,,3708000
,레이저빔은 어디로,graph traversal impl simulation,,3709000
,Pesky Heroes,,,3710000
,학번,bruteforce math number theory,,3711000
,Tantrix,,,3712000
,당일치기,bipartite matching,,3713000
,Up the Stairs,,,3714000
,Secret — MAX,,,3715000
,Safety Grade,,,3716000
,Search by template,,,3717000
,Roots Intervals,,,3718000
,팰린드롬 날짜,ad-hoc backtrack bruteforce case work greedy impl,,3719000
,Choosing a camera,,,3720000
,Road Planner,,,3721000
,Term Generator,,,3722000
,Painting,,,3723000
,표,arbitrary precision / big integers bruteforce,,3724000
,Calculator,,,3725000
,가장 큰 원,,,3726000
,프로그래밍 대회,,,3727000
,Control Points,,,3728000
,Gamers,,,3729000
,Cosmic Station,,,3730000
,Game,dp graph traversal,,3731000
,Proof Generator,,,3732000
,Shares,arithmetic math,,3733000
,RSA 인수 분해,ad-hoc math,,3734000
,Hard-working Student,,,3735000
,System Engineer,bipartite matching,,3736000
,Cycles of Lanes,articulation points and bridges biconnected component cactus dfs graph traversal,,3737000
,Multiprocessor Scheduling,,,3738000
,Maze Stretching,,,3739000
,Software Industry Revolution,,,3740000
,The Lucky Numbers,,,3741000
,The Robbery,,,3742000
,The Computer Game,,,3743000
,The Bad Number,,,3744000
,오름세,binary search lis in o(n log n),,3745000
,Sky Code,inclusion and exclusion math number theory,,3746000
,완벽한 선거!,2-sat graph scc,,3747000
,Lucky cities,articulation points and bridges biconnected component graph,,3748000
,Build Your Home,geom,,3749000
,Quick answer,,,3750000
,행운의 수,,,3751000
,최대공약수 행렬식,euler phi function linear algebra math number theory,,3752000
,Internet Service Providers,,,3753000
,John,game theory,,3754000
,Double Queue,ds priority queue,,3755000
,‘JBC’,,,3756000
,Loan Scheduling,,,3757000
,KCPC,sorting,,3758000
,Highway,,,3759000
,Computers,dp,,3760000
,The Stable Marriage Problem,graph parsing smp string,,3761000
,Arne Saknussemm,,,3762000
,스도쿠,backtrack dancing links x,,3763000
,Products,a* dfs dijkstra's graph traversal,,3764000
,Celebrity jeopardy,,,3765000
,Sherlock Holmes,,,3766000
,Payment System,,,3767000
,Stargates,,,3768000
,최댓값,greedy math,,3769000
,대한민국,ds segtree,,3770000
,“Shortest” pair of paths,,,3771000
,Linear world,,,3772000
,Songs,,,3773000
,Tour,,,3774000
,Computer Transformation,arbitrary precision / big integers dp,,3777000
,애너그램 거리,impl string,,3778000
,주기,kmp string,,3779000
,네트워크 연결,ds dsu,,3780000
,Cave Exploration,,,3781000
,City Game,bruteforce prefix sum,,3782000
,세제곱근,arbitrary precision / big integers binary search math numerical analysis,,3783000
,Cable TV Network,,,3784000
,Alibaba,,,3785000
,Booklets,,,3786000
,Count on Canton,bruteforce impl math,,3787000
,Delta Encoding and Decoding,,,3788000
,Hidden Password,string suffix array and lcp array,,3789000
,Crazy tea party,,,3790000
,Lord of the Ring,,,3792000
,Common Subsequence,dp,,3793000
,Power Network,,,3794000
,Firefighters,,,3795000
,Binary Polynomials,,,3796000
,Cash Machine,,,3797000
,Beer Land,,,3798000
,BOAT,,,3799000
,Art Gallery,,,3800000
,Game,,,3801000
,MANAGER,,,3802000
,Networking,graph mst,,3803000
,Sly Number,,,3804000
,벌집들,,,3805000
,S를 T로,greedy,,3806000
,고창영 비밀번호의 비밀,math number theory,,3807000
,ACGU,,,3808000
,Old School Days,,,3809000
,Sentry Robots,,,3810000
,How do spiders walk on water?,,,3811000
,되팔렘,,,3812000
,The Moon of Valencia,,,3813000
,Countdown,,,3814000
,은행수,bruteforce math number theory primality test,,3825000
,스타일리시,bruteforce impl string,,3826000
,일차원 세포 자동자,exponentiation by squaring math,,3827000
,잘못된 계산,bruteforce dp gaussian elimination linear algebra math,,3828000
,Sliding Block Puzzle,bfs dijkstra's graph traversal impl,,3829000
,교수님은 기다리지 않는다,ds dsu,,3830000
,Let There Be Light,bit set geom 3d,,3831000
,Company Organization,,,3832000
,아름다운 레이아웃,,,3833000
,Cubic Colonies,,,3834000
,Alphabet Soup,burnside's lemma combinatorics kmp math string,,3835000
,Coin Collecting,matroid,,3836000
,사이버 도넛 범죄 수사,ds impl segtree sweeping,,3837000
