PROBLEM_ID,TITLE_NM,TAGS_NM,SOLVED_USR,HASH_ID
,농구 경기,impl string,,1159000
,Random Number Generator,exponentiation by squaring math,,1160000
,버스,ds greedy,,1161000
,도로포장,dijkstra's dp graph,,1162000
,증가하는 리스트,dp impl,,1163000
,가리기,ad-hoc backtrack greedy,,1164000
,단어퍼즐,ds graph hash heuristics parsing precomputation string tree trie,,1165000
,선물,binary search,,1166000
,트리의 지름,dfs graph traversal tree,,1167000
,요세푸스 문제 2,ds segtree,,1168000
,정사각형 진열,geom greedy,,1169000
,선인장의 개수,cactus graph,,1170000
,사오정,dp,,1171000
,선인장 Automorphisms,,,1172000
,운동,impl simulation,,1173000
,줄어드는 수,backtrack bruteforce,,1174000
,배달,bfs graph traversal,,1175000
,섞기,bitmask dp bitfield dp,,1176000
,조쌤포스,case work geom math sweeping,,1177000
,간선 추가,eulerian path graph,,1178000
,마지막 요세푸스 문제,dp math recursion,,1179000
,선인장의 지름,biconnected component cactus ds dp tree dp graph tree,,1180000
,단어 정렬,sorting string,,1181000
,부분수열의 합,backtrack bruteforce,,1182000
,약속,math sorting,,1183000
,귀농,bruteforce ds hashset prefix sum,,1184000
,유럽여행,graph mst,,1185000
,직사각형 색칠하기,greedy sorting,,1186000
,숫자 놀이,constructive d&c math,,1187000
,음식 평론가,math number theory,,1188000
,컴백홈,backtrack bruteforce graph traversal,,1189000
,골 세레모니,,,1190000
,게임,bfs ds dp game theory graph traversal hashset treeset,,1191000
,장갑,math,,1192000
,분수찾기,impl math,,1193000
,"달이 차오른다, 가자.",bfs bitmask graph traversal,,1194000
,킥다운,bruteforce impl,,1195000
,잭 바우어,arbitrary precision / big integers calculus math numerical analysis,,1196000
,최소 스패닝 트리,graph mst,,1197000
,삼각형으로 자르기,bruteforce geom math,,1198000
,오일러 회로,dfs eulerian path graph traversal,,1199000
,기상예측,binary search bruteforce dp prefix sum,,1200000
,NMK,constructive greedy math,,1201000
,보석 도둑,ds greedy priority queue sorting,,1202000
,게임,math,,1203000
,팰린드롬의 개수,dp,,1204000
,등수 구하기,impl,,1205000
,사람의 수,bruteforce math,,1206000
,종이 자르기,backtrack impl,,1207000
,부분수열의 합 2,binary search meet in the middle,,1208000
,단조수열 만들기,dp,,1209000
,마피아,flow mfmc,,1210000
,보일의 법칙,dp math number theory,,1211000
,8진수 2진수,impl math string,,1212000
,팰린드롬 만들기,greedy impl string,,1213000
,쿨한 물건 구매,bruteforce math number theory,,1214000
,잘못 작성한 요세푸스 코드,math number theory,,1215000
,하우스 M.D.,2-sat graph scc,,1217000
,로봇,compression ds geom impl lazyprop lis in o(n log n) area of a polygon segtree stack sweeping,,1218000
,오민식의 고민,bellman-ford graph traversal,,1219000
,MEGACITY,compression dijkstra's graph traversal,,1220000
,가까운 점,ds d&c geom 3d hashset randomization sorting sweeping,,1221000
,홍준 프로그래밍 대회,math number theory,,1222000
,마법의 돌,,,1223000
,분수,extended euclidean algorithm math number theory,,1224000
,이상한 곱셈,impl math string,,1225000
,국회,dp greedy knapsack,,1226000
,그녀의 마음,ad-hoc bfs case work graph traversal math,,1227000
,전쟁,ds dp tree dp hashset knapsack tree,,1228000
,육각수,dp math precomputation,,1229000
,문자열 거리,dp,,1230000
,주식왕 동호,dp knapsack,,1231000
,체스,ad-hoc graph traversal,,1232000
,주사위,bruteforce impl,,1233000
,크리스마스 트리,combinatorics dp math,,1234000
,학생 번호,impl string,,1235000
,성 지키기,impl,,1236000
,정ㅋ벅ㅋ,,,1237000
,파티,dijkstra's graph,,1238000
,차트,bruteforce,,1239000
,노드사이의 거리,bfs dfs graph traversal tree,,1240000
,머리 톡톡,math number theory primality test,,1241000
,소풍,math number theory,,1242000
,팰린드롬,dp,,1243000
,스위치 켜고 끄기,impl simulation,,1244000
,농장 관리,bfs dfs graph traversal,,1245000
,온라인 판매,greedy sorting,,1246000
,부호,arbitrary precision / big integers arithmetic math,,1247000
,Guess,backtrack bruteforce,,1248000
,워드똑똑,case work combinatorics dp exponentiation by squaring inclusion and exclusion math number theory,,1249000
,색칠된 공들,ds priority queue,,1250000
,단어 나누기,bruteforce impl sorting string,,1251000
,이진수 덧셈,arithmetic impl math,,1252000
,좋다,binary search ds hashset sorting two-pointer,,1253000
,팰린드롬 만들기,bruteforce string,,1254000
,전쟁 - 선전포고,dijkstra's graph,,1255000
,사전,combinatorics dp math,,1256000
,엄청난 부자,dijkstra's dp graph math,,1257000
,문제 할당,flow mcmf,,1258000
,팰린드롬수,impl string,,1259000
,DFS와 BFS,graph traversal bfs dfs,,1260000
,알고스팟,0-1 bfs dijkstra's graph,,1261000
,알파벳 다이아몬드,impl,,1262000
,시간 관리,greedy sorting,,1263000
,모음의 개수,impl string,,1264000
,순열,arbitrary precision / big integers bitmask dp bitfield dp,,1265000
,일어나!,geom line segment intersection check sweeping,,1266000
,핸드폰 요금,arithmetic math,,1267000
,임시 반장 정하기,impl,,1268000
,대칭 차집합,ds hashset treeset,,1269000
,전쟁 - 땅따먹기,ds impl majority vote treeset,,1270000
